Olfactory_bulb_L
Olfactory_nucleus_L
Insular_cx_L
IPS_intraparietal sulcus_L
S1_L
M1_L
Premotor_L
Dorsal_lateral PFC_L
Medial_PFC_L
Frontal_pole_L
Orbitofrontal_cx_L
Medial ventral_PFC_L
V3_L
Posterior_cingulate_L
Anterior_cingulate_L
Retrosplenial_cx_L
Perirhinal_cortex_L
Ventral_lateral PFC_L
Auditory_cx_L
Entorhinal_cortex_L
Mid-temporal_area_L
Gustatory_cortex_L
Ventral postal_parietal_area_L
Superior_temporal_rostral_area_L
Subiculum_L
Postal_pareital_area_L
Precuneus_L
Piriform_cortex_L
Prostriate_area_L
S2_L
Inferior_temporal_area_L
Parahippocampal_gyrus_L
Superior_temporal_polysensory_cortex_L
Temporopolar_area_L
V1_L
V2_L
V6_L
Hippocampal_formation_L
Amygdala_L
Bed_nucleus_of_the_stria_terminalis_L
Claustrum_L
Globus_pallidus_L
Substantia_nigra_L
Accumbens_nucleus_L
Caudate_nucleus_L
Putamen_L
Subthalamic_nucleus_L
Septal_nucleus_L
Medial_geniculate_nucleus_L
Thalamus_L
Dorsal_lateral_geniculate_nucleus_L
Superior_colliculus_L
Olfactory_bulb_R
Olfactory_nucleus_R
Insular_cx_R
IPS_intraparietal sulcus_R
S1_R
M1_R
Premotor_R
Dorsal_lateral_PFC_R
Medial_PFC_R
Frontal_pole_R
Orbitofrontal_cx_R
Medial_ventral_PFC_R
V3_R
Posterior_cingulate_R
Anterior_cingulate_R
Retrosplenial_cx_R
Perirhinal_cortex_R
Ventral_lateral_PFC_R
Auditory_cx_R
Entorhinal_cortex_R
Mid-temporal_area_R
Gustatory_cortex_R
Ventral_postal_parietal_area_R
Superior_temporal_rostral_area_R
Subiculum_R
Postal_pareital_area_R
Precuneus_R
Piriform_cortex_R
Prostriate_area_R
S2_R
Inferior_temporal_area_R
parahippocampal gyrus_R
superior_temporal_polysensory_cortex_R
temporopolar_area_R
V1_R
V2_R
V6_R
Hippocampal_formation_R
Amygdala_R
Bed_nucleus_of_the_stria_terminalis_R
Claustrum_R
Globus_pallidus_R
Substantia_nigra_R
Accumbens_nucleus_R
Caudate_nucleus_R
Putamen_R
Subthalamic_nucleus_R
Septal_nucleus_R
Medial_geniculate_nucleus_R
Thalamus_R
Dorsal_lateral_geniculate_nucleus_R
Superior_colliculus_R 
